current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,0.00000,Power (Watt),373.15,51.09,True
0.0426,678.42653,Power (Watt),373.15,51.09,False
0.0852,1036.81268,Power (Watt),373.15,51.09,False
0.1278,1375.00701,Power (Watt),373.15,51.09,False
0.1704,1703.10543,Power (Watt),373.15,51.09,False
0.2130,2031.20384,Power (Watt),373.15,51.09,False
0.2556,2339.11044,Power (Watt),373.15,51.09,False
0.2981,2632.44340,Power (Watt),373.15,51.09,False
0.3407,2914.53998,Power (Watt),373.15,51.09,False
0.3833,3202.25475,Power (Watt),373.15,51.09,False
0.4259,3467.85200,Power (Watt),373.15,51.09,False
0.4685,3717.10883,Power (Watt),373.15,51.09,False
0.5111,3947.38909,Power (Watt),373.15,51.09,False
0.5537,4172.01376,Power (Watt),373.15,51.09,False
0.5963,4378.33492,Power (Watt),373.15,51.09,False
0.6389,4576.47653,Power (Watt),373.15,51.09,False
0.6815,4751.84624,Power (Watt),373.15,51.09,False
0.7241,4918.41008,Power (Watt),373.15,51.09,False
0.7667,5042.73936,Power (Watt),373.15,51.09,False
0.8093,5159.17419,Power (Watt),373.15,51.09,False
0.8519,5242.80666,Power (Watt),373.15,51.09,False
0.8944,5293.09501,Power (Watt),373.15,51.09,True
0.9370,5337.83570,Power (Watt),373.15,51.09,True
0.9796,5382.57639,Power (Watt),373.15,51.09,True
1.0222,5384.14942,Power (Watt),373.15,51.09,False
1.0648,5384.14942,Power (Watt),373.15,51.09,False
1.1074,5384.14942,Power (Watt),373.15,51.09,False
1.1500,5384.14942,Power (Watt),373.15,51.09,False
