start_id,success,cost,rmse_voltage_V,nfev,optimality
0,True,44.70855420228547,0.0014113700033089984,78,2.8970630393461913e-06
1,True,44.7085542022856,0.0014113700033090003,22,6.279722208923547e-07
2,True,44.708554202285505,0.0014113700033089988,25,2.3604287225977356e-06
3,True,44.708554202285654,0.0014113700033090012,26,2.205842564045769e-06
4,True,44.70855420228595,0.0014113700033090057,19,5.215449696102051e-06
5,True,44.7085542022859,0.0014113700033090049,52,1.4009880089888035e-06
6,True,44.70855420228541,0.0014113700033089975,22,8.265772845864179e-07
7,True,44.708554202285775,0.0014113700033090031,22,3.1822548736710526e-06
8,True,44.70855420228596,0.001411370003309006,28,1.7537379640615108e-06
9,True,44.70855420228542,0.0014113700033089975,30,1.2647012182379298e-06
10,True,44.70855420228575,0.0014113700033090027,26,1.8394550083624682e-06
11,True,44.708554202285505,0.0014113700033089988,24,3.4534386091652295e-06
12,True,44.70855420228559,0.001411370003309,23,3.1290453732022848e-06
13,True,44.708554202285534,0.0014113700033089992,24,1.2111802032964651e-06
14,True,44.708554202285306,0.0014113700033089956,35,1.1957548630616235e-06
15,True,44.708554202285725,0.0014113700033090023,34,8.755668648607347e-07
